customer_id,n_orders,avg_basket_size,avg_basket_value,max_single_transaction,days_since_last_purchase,lifecycle_stage,weekend_purchase_ratio,category_breadth,category_concentration,inter_purchase_time_mean,inter_purchase_time_std,inter_purchase_time_trend,monetary_trend,monetary_cv,basket_size_trend,purchase_velocity_recent_vs_early
12346,12,2.8333333333333335,6463.038333333334,77183.6,162,0.7117437722419928,0.0,7,0.9904160835045128,35.90909090909091,62.38218648045806,14.545454545454543,2970.976363636363,3.2992344665882554,0.6643356643356642,0.09090909090909091
12347,5,28.4,563.496,711.79,20,0.91701244813278,0.2,13,0.21994144238420887,54.75,12.735285626950029,9.899999999999995,-53.3560000000001,0.21013737508880262,-5.100000000000006,0.6666666666666666
12348,4,10.0,347.09999999999997,652.8,85,0.6909090909090909,0.0,4,0.32163607404845407,63.0,17.45470328211473,-4.9999999999999964,-14.784000000000013,0.5296850408805059,-5.200000000000005,1.0
12349,2,50.0,1110.5700000000002,1152.6200000000001,244,0.42723004694835676,0.0,10,0.2695992758165547,181.0,0.0,0.0,84.10000000000005,0.03786343949503414,7.999999999999994,1.0
12350,1,16.0,294.40000000000003,294.40000000000003,147,0.0,0.0,5,0.30170081558660206,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12351,1,21.0,300.93,300.93,212,0.0,0.0,5,0.5511955009056215,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12352,6,8.5,164.21833333333333,296.5,99,0.5676855895196506,0.0,6,0.3742213683915068,25.8,26.90278795961489,-8.500000000000005,-15.668857142857137,0.40574449804134904,-0.6000000000000008,2.0
12353,2,12.0,203.38,317.76,41,0.8326530612244898,0.0,5,0.32796646788267364,204.0,0.0,0.0,-228.76,0.5623955157832629,-15.999999999999998,1.0
12354,1,58.0,1079.4,1079.4,69,0.0,0.0,5,0.31024568202628644,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12355,2,17.5,473.80500000000006,488.21000000000004,51,0.8737623762376238,0.0,8,0.20680221260111142,353.0,0.0,0.0,-28.810000000000024,0.03040280284083114,-9.0,1.0
12356,5,27.2,1110.676,1977.96,82,0.685823754789272,0.0,11,0.26768589345989613,44.25,25.439880109780393,18.9,-66.43000000000012,0.6401865335519187,-1.4000000000000037,0.6666666666666666
12357,1,164.0,11229.99,11229.99,225,0.0,0.0,9,0.40273060711595804,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12358,3,18.666666666666668,839.6700000000001,1429.83,212,0.6267605633802817,0.0,9,0.27080362191945384,177.5,3.5,-7.000000000000029,-304.3750000000001,0.5650510537480612,2.4999999999999996,2.0
12359,9,28.88888888888889,673.2322222222223,1838.9099999999999,26,0.9544658493870403,0.2222222222222222,11,0.45450063798114687,67.75,40.73619398029227,8.476190476190474,121.69833333333327,0.7335362210778403,5.099999999999996,0.8
12360,4,32.25,558.6025,923.58,37,0.9247967479674797,0.0,11,0.3092046162085192,151.33333333333334,42.74212078136611,49.5,260.549,0.5280368514309369,11.1,1.0
12361,4,6.25,112.8125,174.9,124,0.7610789980732178,0.25,3,0.4897643572409667,131.0,30.865298745786774,35.499999999999986,25.794999999999998,0.32180862189876613,0.8999999999999994,1.0
12362,2,27.0,442.17,450.24,62,0.5303030303030303,0.0,7,0.25904395020982524,69.0,0.0,0.0,16.13999999999989,0.018250898975507142,1.9999999999999971,1.0
12363,1,16.0,299.1,299.1,79,0.0,0.0,5,0.5821587128486764,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12365,1,21.0,320.69,320.69,128,0.0,0.0,5,0.3265872721914061,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12366,1,3.0,500.24,500.24,470,0.0,0.0,2,0.5441928414901388,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12368,1,18.0,917.7,917.7,465,0.0,1.0,7,0.23083034371702763,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12369,3,30.0,503.71666666666664,1059.48,250,0.4769874476987448,0.0,10,0.2928583000389731,113.5,78.5,-156.99999999999997,-82.48499999999984,0.7915427883037963,7.755965880377687e-15,2.0
12370,6,28.166666666666668,536.2133333333333,1587.07,111,0.7801980198019802,0.0,10,0.26543626603731063,78.6,97.60655715678122,7.999999999999995,125.77257142857137,1.0418199019744547,5.799999999999997,1.0
12371,3,33.666666666666664,606.4733333333334,1331.74,246,0.48962655601659755,0.0,8,0.22554693721164457,117.5,117.5,234.99999999999994,545.43,0.8456211423690179,26.49999999999999,0.5
12372,2,18.5,421.46000000000004,479.70000000000005,49,0.631578947368421,0.0,5,0.6317400058944134,83.0,0.0,0.0,116.47999999999992,0.13818630475015423,-1.000000000000001,1.0
12373,3,16.0,309.2166666666667,357.90000000000003,148,0.7098039215686274,0.0,4,0.3136037142542413,180.5,131.5,262.99999999999994,-16.650000000000016,0.1529601288808164,-3.499999999999999,0.5
12374,2,24.5,1023.145,1388.54,258,0.39294117647058824,0.0,5,0.28413742619724885,166.0,0.0,0.0,-730.7900000000001,0.35712924365559134,-22.999999999999996,1.0
12376,2,5.5,191.575,352.54999999999995,226,0.11023622047244097,0.0,4,0.3812156483761529,28.0,0.0,0.0,-321.9499999999998,0.8402714341641655,-9.0,1.0
12377,4,37.5,816.58,1210.96,152,0.6431924882629108,0.0,11,0.43017447590004204,91.0,82.90154803540563,-84.49999999999997,-149.88000000000034,0.3665270889250876,-2.600000000000006,3.0
12378,1,82.0,1407.7,1407.7,399,0.0,0.0,9,0.2875354158467038,0.0,0.0,0.0,0.0,0.0,0.0,1.0
