customer_id,frequency,recency,T,monetary_value,holdout_frequency,holdout_revenue,predicted_purchases,p_alive,expected_avg_value,predicted_clv
12346,7.0,400.0,563.0,11066.637142857144,0,0.0,1.7408869718761009,0.8903066957814324,11082.488291192154,20829.784349294925
12347,4.0,221.0,242.0,551.4875,3,2104.05,2.340528122567628,0.9716939739588635,555.6608623372002,1402.973267622358
12348,3.0,190.0,276.0,389.08,1,270.0,1.5819760494400699,0.9266287570183901,394.1624263968886,672.7492433189817
12349,1.0,182.0,427.0,1152.62,1,1457.55,0.4436744643169681,0.819783367758061,1174.8581759695842,562.5831388496964
12350,0.0,0.0,148.0,0.0,0,0.0,0.4919905619874491,1.0,406.30186990676947,-693.9409790150979
12351,0.0,0.0,213.0,0.0,0,0.0,0.37959664832569556,1.0,406.30186990676947,-535.6411813477417
12352,5.0,130.0,230.0,168.312,3,744.23,2.5848150791570186,0.8498470449454556,170.9617167276967,476.68986063470174
12353,1.0,204.0,246.0,89.0,0,0.0,0.7801812753737415,0.9184982809228507,101.62771843510772,85.5261602619996
12354,0.0,0.0,70.0,0.0,0,0.0,0.7645280916069429,1.0,406.30186990676947,-1077.4795097282342
12355,1.0,353.0,405.0,459.4,0,0.0,0.5219445658629206,0.9218967147861663,475.3745090847477,267.7782608074413
12356,4.0,179.0,262.0,1188.735,1,58.35,2.092607996641975,0.9242348912028805,1194.3381533341546,2696.354452054038
12357,0.0,0.0,226.0,0.0,1,6207.67,0.36302700773258567,1.0,406.30186990676947,-512.2955981460415
12358,2.0,356.0,569.0,544.59,2,928.06,0.6034002989022944,0.8953174109478454,552.9244729001907,360.1905232893551
12359,8.0,545.0,572.0,662.3,1,2814.3,2.1456833069568164,0.9844805318072494,664.508518441454,1539.3940730406885
12360,3.0,455.0,493.0,705.4699999999999,2,1378.48,1.0152831834832146,0.9658493228731269,711.4996463392455,779.7929140675734
12361,3.0,395.0,520.0,119.01666666666668,0,0.0,0.9412054920826451,0.9381650563402198,123.29056758856319,125.27116623041135
12362,1.0,70.0,133.0,450.24,8,3852.89,1.1658767240979326,0.8835310081778486,466.13174287969724,585.8083889728939
12363,0.0,0.0,80.0,0.0,1,252.9,0.7137114034679605,1.0,406.30186990676947,-1005.9929987762362
12365,0.0,0.0,129.0,0.0,0,0.0,0.5386827546680167,1.0,406.30186990676947,-759.6785582825994
